fname,dialogue,summary,topic
train_3887-rp,"#Person1#: Jim, 샌디에이고에 다녀오셨다고 하는데 맞나요?
#Person2#: 네, Emily가 샌디에이고 대학에 입학하게 되어 데려다 주러 갔었어요.
#Person1#: 여행하시면서 도시 구경도 좀 하셨어요?
#Person2#: 네, 하지만 이틀밖에 없어서 많이 즐기진 못했어요.
#Person1#: 그럼 주로 뭘 하셨어요?
#Person2#: 샌디에이고 대학을 구경하고 해변과 시내를 좀 돌아다녔어요. 그리고 암으로 투병 중인 용감한 소년도 잠깐 만났어요. 저희 딸이 신문에서 그 소년을 알게 되었거든요. 더 알고 싶으면 인터넷에서 뉴스를 검색해보세요.
#Person1#: 사진도 찍으셨어요?
#Person2#: 네, 여기 있어요. 한 번 보실래요?
#Person1#: 그럼요, 사진 보는 건 좋아해요.
#Person2#: 이건 해변에서 Emily와 함께 찍은 거고, 이건 출발하기 전에 박물관에서 찍은 거예요.
#Person1#: 유명한 동물원도 가보셨어요?
#Person2#: 아니요, 다음에 꼭 가보려고요.","Jim은 딸 Emily의 샌디에이고 대학 입학을 위해 샌디에이고로 갔었습니다. 그는 #Person1#에게 여행 경험을 공유하고, 그곳에서 찍은 사진들을 보여주었습니다.",샌디에이고 여행 이야기
train_9033-rp,"#Person1#: Tom, 디지털 슈퍼스토어에서 기술 어드바이저로 훈련을 받고 있는데, 근무 일정이 어떻게 되니?
#Person2#: 토요일에는 오전 9시부터 오후 3시까지, 일요일에는 오전 11시부터 오후 5시까지 파트타임으로 일해.
#Person1#: 그렇구나. 그래서 그 일에서 구체적으로 어떤 역할을 하니?
#Person2#: 기본적으로 손님들의 문제를 해결하고, 그들이 어떤 제품을 사면 좋을지 조언해 주는 거야. 직접 판매는 하지 않고, 결정을 내리는 데 도움을 주는 거지.
#Person1#: 그 일에서 가장 어려운 점은 뭐야?
#Person2#: 가게에서 2000개 이상의 제품을 팔고 있어서, 모든 제품에 대해 완벽하게 알기 어려워.
#Person1#: 그럼 일하면서 가장 즐거운 점은 뭐야?
#Person2#: 기술과 컴퓨터를 정말 좋아하니까, 최신 기술들을 알아볼 수 있는 기회가 가장 좋아.","#Person1#이 Tom에게 디지털 슈퍼스토어에서 기술 어드바이저로 일하는 것에 대해 물어봅니다. Tom은 제품 모두에 대한 정보를 알기 어렵다고 느끼지만, 자신의 업무에 흥미를 느낍니다.",기술 어드바이저로서의 경험
train_6083-rp,"#Person1#: 좋아, 고전 영화 섹션에 도착했어.
#Person2#: 네가 옛날 영화를 좋아한다는 걸 몰랐어.
#Person1#: 정말 좋아해, 특히 '바람과 함께 사라지다' 같은 작품들을.
#Person2#: 맞아, 요즘 영화들은 너무 상업적이야!
#Person1#: 가끔 오스카가 돈 많이 번 영화에만 상을 주는 것 같아.","#Person1#과 #Person2#는 고전 영화를 좋아하며, 현대 영화가 너무 상업적이라고 생각합니다.",고전 영화 선호
train_6383-rp,"#Person1#: 학교에 새로 온 여학생이 있는데, 너는 본 적 있어?
#Person2#: 아직 못 봤어.
#Person1#: 그녀는 정말 예쁘다고 생각해.
#Person2#: 그녀의 모습은 어때?
#Person1#: 그녀는 조금 작은 편이야.
#Person2#: 키가 얼마나 되니?
#Person1#: 대략 150cm 정도 될 거야.
#Person2#: 그럼, 외모도 말해줄래?
#Person1#: 그녀를 처음 봤을 때, 아름다운 갈색 눈이 가장 눈에 띄었어.
#Person2#: 그녀랑 전에 부딪친 적이 있는 것 같아.
#Person1#: 너 전에 본 적이 있어?
#Person2#: 그렇게 생각해.",#Person1#이 #Person2#에게 학교의 새로운 여학생이 약 150cm의 키에 아름다운 갈색 눈을 가졌다고 전했습니다. #Person2#는 이전에 그녀를 본 적이 있다고 기억하고 있습니다.,새로운 여학생
train_7627-rp,"#Person1#: 빨리 가자, 늦을 것 같아, 잭!
#Person2#: 지금 출발하고 있어요.
#Person1#: 명찰이랑 우산 꼭 챙겨. 오늘 비가 올 거야.
#Person2#: 지금은 그냥 흐리기만 하고, 오후에는 맑아질 거에요. 어제처럼요.
#Person1#: 알아, 그런데 저기 저 검은 구름 좀 봐봐.
#Person2#: 알겠어요. 하지만 우산보단 우비를 챙기겠어요. 우산이 고장났거든요.
#Person1#: 아, 그럼 내가 고쳐줄게.
#Person2#: 나 학교 갈게요. 잘 있어요, 엄마.","잭은 학교에 가기 위해 준비하며 엄마와 이야기합니다. 엄마는 그에게 우산을 챙기라고 권하지만, 잭은 고장난 우산 대신 우비를 가져가기로 합니다.",학교 준비
train_1213-rp,"#Person1#: 지금 화성에 관한 흥미로운 보고서를 읽고 있어.
#Person2#: 그래? 무슨 내용이야? 화성 지하에 물이 있을지도 모른다고 하던가?
#Person1#: 맞아! 화성 지하에 물이 묻혀 있을 수 있다고 해. 얼마나 깊이 있는지 궁금하네.
#Person2#: 그럼 화성의 흙을 조금이라도 비옥하게 만들어서 식물을 키울 수 있을까?
#Person1#: 흙에는 비료가 많이 필요할 거야. 그리고 자외선으로부터 보호도 필요하고.
#Person2#: 우리 학교에서 화성에 오래 머무르는 프로젝트를 진행하고 있어. NASA가 화성에서 머물 수 있는 이동식 거처 같은 걸 개발했나?
#Person1#: NASA가 화성에서 오래 머무를 수 있는 이동식 거처를 만들었는지는 모르겠어. 하지만 여러 디자인을 검토하고 있는 건 알아.
#Person2#: 화성에서 제일 흥미로운 건 예전에 생명체가 살았을 가능성 아닐까? 화성 생명체 이론에 대해 어떻게 생각해?
#Person1#: 음, 전문가가 아니라 잘 모르겠지만, 가능성은 있다고 생각해. 하지만 45억 년 전에 무슨 일이 있었는지 알아내는 건 정말 어려워.
#Person2#: 아마 화성의 지표와 대기가 점점 좋아져서 인간이 살 수 있을지도 몰라.
#Person1#: 나는 좀 회의적이야. 화성은 규소, 철, 다양한 광물이 있는 암석으로 이루어져 있어. 대기는 이산화탄소로 되어 있고. 우리가 지구에서 가진 것과는 너무 달라.
#Person2#: 그래도 언젠가는 인간 식민지를 세울 수 있기를 바랄게.
#Person1#: 그런데 아직 해결해야 할 큰 문제들이 많이 있어. 장기간의 무중력 상태, 식량 저장, 다양한 생리적 영향을 포함해서.","#Person1#과 #Person2#는 화성에서 물의 가능성, 흙의 비옥도, 생명체의 존재, 그리고 화성에서의 인간 거주 가능성에 대해 논의했습니다.",화성 탐사와 인간 거주 가능성
train_10908-rp,"#Person1#: 오늘은 정말 몸이 안 좋아. 열이 41도까지 오르고, 머리가 아프고 콧물도 나와.
#Person2#: 그 외에도 다른 증상은 없니?
#Person1#: 배도 아파. 얼굴도 좀 부었어?
#Person2#: 약간 부어 있어. 치통은 이제 좀 나아졌니?
#Person1#: 응, 거의 다 나아졌어. 다른 곳들이 너무 아파서 덜 느껴지는 거야.
#Person2#: 혀는 어때? 아직도 아프니?
#Person1#: 아니, 화상 연고가 잘 들어서 이제 거의 다 나았어.
#Person2#: 그 화상은 어떻게 입었었지?
#Person1#: 며칠 전에 뜨거운 커피에 데였어.
#Person2#: 요즘 정말 운이 없네, 그렇지?
#Person1#: 응, 그래도 곧 나아질 거야.
#Person2#: 마지막으로 약을 먹은 게 언제야?
#Person1#: 빨간 약은 점심 전에, 하얀 약은 점심 후에 먹었어.
#Person2#: 이제 다시 약을 먹어야 할 것 같아. 뭐 마시고 싶어?
#Person1#: 그냥 물이 좋을 것 같아. 코가 계속 간지러워서 연고가 있을까?
#Person2#: 응, 지금 가져올게. 뭐 먹고 싶어? 수프는 어때?
#Person1#: 좋아.
#Person2#: 아플 때 항상 수프를 먹으면 기운이 돌아와. 너도 기분이 좋아졌으면 좋겠어.","#Person1#은 몸이 몹시 아파하며, #Person2#에게 증상들을 전합니다. #Person1#은 약을 복용할 시간이 되었으며, 이제 연고와 수프를 준비할 계획입니다.",질병 증상과 간호
train_1121-rp,"#Person1#: Jessie, 오늘 집에 늦게 들어갈 것 같아.
#Person2#: 또 저녁을 같이 안 먹으러 오는 거야? 이번 주에만 벌써 세 번째야!
#Person1#: 정말 미안해. 우리 회사가 새로 생겨서 처리해야 할 일이 항상 많거든.
#Person2#: 설명할 필요 없어. 마음대로 해.
#Person1#: 정말로 미안해. 주말에는 꼭 시간 내서 같이 보낼게.
#Person2#: 두고 보자.
#Person1#: 이해해줘서 고마워. 꼭 보답할게.","#Person1#이 Jessie에게 회사 업무로 인해 저녁에 집에 가지 못한다고 알립니다. Jessie는 불평을 하지만, #Person1#은 주말에 함께 시간을 보내기로 약속합니다.",야근으로 인한 갈등
train_11071-rp,"#Person1#: 이준아, 나 잠시 혼자 산책 좀 다녀올게. 혼자만의 시간이 좀 필요해서.
#Person2#: 오늘 밤 면회 시간에 가지 않을래? 테일러의 이야기를 나눌 수 있을 텐데.
#Person1#: 지금은 좀 어려워. 모두가 테일러 얘기만 할 거라서...
#Person2#: 그래도 그게 우리가 필요한 일일지도 몰라.
#Person1#: 테일러의 죽음을 먼저 받아들여야 해. 그리고 내일 무슨 말을 할지 준비도 해야 하고.
#Person2#: 알겠어, 하지만 내가 여기 있다는 건 잊지 마. 네 기분 이해해. 나도 그를 잃었으니까.",테일러의 죽음을 받아들이기 위해 혼자만의 시간이 필요한 #Person1#에게 #Person2#가 위로를 건넸다.,사별과 위로
train_6178-rp,"#Person1#: 시작해볼까요? 먼저 자기소개와 경력에 대해 말씀해 주세요.
#Person2#: 저는 지난 10개월 동안 법률 에이전시에서 법률보조사로 일했습니다. 주로 노동법 변호사들을 지원하며, 실무에서 법률보조원 교육을 적용했어요. 정보를 유용한 자료로 변형하는 능력이 인정받았고, 연구와 사실 분석을 좋아합니다. 대학에서는 영문학을 전공해 글쓰기 실력이 강점이에요. 그래서 연구와 글쓰기 능력을 활용할 수 있는 직책을 찾고 있습니다.
#Person1#: 법률보조사가 성공하기 위해 필요한 주요 능력은 무엇일까요?
#Person2#: 유연성이 가장 중요한 능력이라고 생각해요. 변호사 네 명을 지원했는데, 하루나 일주일 내내 모두가 중요한 업무를 맡기는 일이 많았죠. 그래서 모든 일을 파악하고 우선순위를 조정해야 했어요. 각 변호사와 업무의 긴급성을 논의해 아무것도 빠뜨리지 않도록 했고, 동시에 각 변호사에게 그들의 프로젝트가 제 일정에서 중요한 위치에 있음을 느끼게 했습니다. 또한 소통도 중요한 능력이라고 생각해요. 각각의 변호사와 대화를 나누며 제 상황을 설명하고 의견을 얻는 것이 잘 통했어요.
#Person1#: 직무 기술서를 넘어선 일을 했던 구체적인 예를 들어주실 수 있나요?
#Person2#: 정말 중요한 프로젝트가 있었는데, 주말까지 연구하고 완료해야 했어요. 거의 2주 동안 매일 밤 추가 근무를 했고, 최종 작업 전 이틀 동안에는 새벽 2시까지 상사와 함께 남았습니다. 그렇게 많은 노력을 기울여 프로젝트를 완성하고 훌륭한 결과를 보게 되어 정말 보람 있었습니다. 제 상사는 이 추가 노력을 인정해 보너스를 주셨어요.
#Person1#: 어떤 사건을 연구하면서 극복해야 할 장애물에 직면한 경험이 있나요?
#Person2#: 장애물이 많은 사건이 기억납니다. 처음 한 일은 비슷한 상황을 가진 문서와 과거 사건들을 통해 연구하는 것이었습니다. 사실들을 모은 다음, 그것들을 조합하고 다음 단계를 분석하려 했습니다. 점심 시간에 우연히 만난 다른 변호사로부터 의견을 얻을 수 있었습니다. 열심히 일하고 자료를 파내어 대부분의 장애물을 극복할 수 있었고, 상사에게 제 발견을 가져가 제안을 했습니다. 논의한 끝에 결국 해결했고, 상사는 제가 한 일에 대해 감명받았습니다.
#Person1#: 당신의 장점과 단점은 무엇인가요?
#Person2#: 제 장점은 일을 마치는 것에 대한 강한 열정입니다. 결과 지향적이며 모든 마감 시간을 맞춰왔어요. 단점으로는 일을 정말 즐기다 보니 때론 시간이 너무 많이 소요됩니다. 그러나 과로하는 경향을 인식하고, 속도를 조절하는 법을 배우고 있습니다.
#Person1#: 동료나 상사와 대립했던 경험이 있나요?
#Person2#: 어떤 동료와 문제가 있었는데, 그녀와 대화를 할 수 있을 지 물어봤어요. 좋은 논의를 통해 그녀가 자신의 행동이 어떤 영향을 주는지 전혀 모르고 있었으며, 절차에 대한 설명이 필요하다는 것을 알게 되었어요. 절차를 설명하는 데 시간을 들였고, 그 이후로 문제는 없었습니다.
#Person1#: 일을 만족스럽게 느끼는 때는 언제인가요?
#Person2#: 일이 성장의 기회를 제공할 때 가장 큰 만족을 느껴요. 법률보조사로 처음 시작했을 때 배울 것이 많았지만, 열심히 일하고 좋은 멘토의 조언을 받고 지속적으로 교육을 받아 지금 많이 발전했습니다. 가능한 한 유연하게 행동하는 법과 긍정적인 자세로 어려운 사람들을 다루는 법을 배웠습니다.
#Person1#: 동료들이 당신을 어떻게 묘사할까요?
#Person2#: 아마도 에너지와 열정이 넘친다고 할 거예요. 사람들과 일하는 것을 굉장히 즐기니까요. 또한 뛰어난 고객 서비스 능력을 가졌다고 할 것입니다. 고객을 최우선으로 생각합니다. 마지막으로, 법을 잘 알고 있다고 할 것입니다. 법률보조사로서 교육에 많은 노력을 기울이고 있습니다.
#Person1#: 질문 있으신가요?
#Person2#: 네, 있습니다. 회사 내 사기를 1에서 10까지 점수로 평가한다면 몇 점일까요?","#Person1#은 #Person2#와 면접을 진행하며, #Person2#는 연구와 글쓰기 능력을 활용할 수 있는 직책을 찾고 있다고 답합니다. #Person2#는 10개월간 법률보조사로 일했으며, 해당 직무에 성공하기 위해서는 유연성과 소통 능력이 중요하다고 생각합니다. 직무 기술서 이상의 업무 수행 사례와 동료와의 대립을 극복한 경험을 공유하며, 장점은 결과 지향적 태도, 단점은 시간 관리임을 밝힙니다. #Person2#는 법률보조사로서의 성장 경험을 가장 큰 만족으로 여깁니다. 마지막으로 #Person1#에게 회사 내 사기에 대한 질문을 합니다.",면접
train_8909-rp,"#Person1#: 국가은행의 가장 가까운 지점으로 가는 방법을 알려주실 수 있나요?
#Person2#: 물론이죠. 뉴 스트리트에 지점이 있습니다. 이 길을 따라 계속 올라가세요. 첫 번째 교차로가 나올 때까지 올라가세요. 그리고 교차로에서 오른쪽으로 도세요.
#Person1#: 교차로까지 얼마나 걸리나요?
#Person2#: 얼마 안 남았어요. 약 150미터 정도만 더 가시면 됩니다.
#Person1#: 알겠습니다. 교차로에서 오른쪽으로 도신 후에 어떻게 해야 하나요?
#Person2#: 그 다음엔 전쟁 기념비까지 가세요. 큰 군인 동상이 있어서 찾기 쉬울 거예요.
#Person1#: 알겠어요. 그 다음에는 어디로 가야 하나요?
#Person2#: 전쟁 기념비 근처에 국가은행이 있습니다. 큰 건물이고, 앞에 큰 간판이 있어요.
#Person1#: 알겠습니다. 정말 고맙습니다.","#Person1#이 가장 가까운 국가은행 지점으로 가기를 바랐고, #Person2#이 그 길을 자세히 설명해 주었습니다.",길 묻기
train_4743-rp,"#Person1#: 여름 방학이 다가오는데, 무슨 계획 세우고 있어?
#Person2#: 아직은 잘 모르겠어. 미국 여행이 좋을 것 같아서 고민 중이야. 너는 어때?
#Person1#: 난 산행 여행 가려고 해. 건강에도 좋고 재미도 있잖아.
#Person2#: 그래, 그 말이 맞아.
#Person1#: 그럼 같이 가는 거 어때? 이씨도 같이 올 거야.
#Person2#: 좋아, 나도 같이 가자.","#Person1#과 #Person2#이 여름 방학 계획에 대해 이야기하며, #Person1#이 #Person2#에게 등산 여행을 같이 가자고 제안하고 #Person2#가 수락합니다.",여름 방학 계획
train_1941-rp,"#Person1#: 무슨 문제가 있나요?
#Person2#: 미스 브라운이 괴롭힘을 당하고 있다고 생각하는 것 같아요.
#Person1#: 정말이에요? 장난 아니죠?
#Person2#: 저도 그렇게 믿고 싶지만, 이 상황은 정말 심각해요. 지난주에 그녀를 저녁 식사에 초대했었죠.
#Person1#: 네, 그녀가 일을 잘 해낸 보상이었어요. 저희는 매달 가장 성과가 좋은 직원을 저녁에 초대하거든요.
#Person2#: 그 자체로는 문제가 없지만, 그녀가 초대를 거절했을 때 화를 내고 동기가 개인적이라고 생각한 것 같아요.
#Person1#: 제 의도를 오해한 것 같네요. 이제 어떻게 해야 할까요?
#Person2#: 우리 회사의 괴롭힘 방지 정책에 따라 인사팀과 미스 브라운과의 회의를 해야 합니다. 이 상황은 꽤 심각합니다. 괴롭힘의 증거가 발견되면 경고를 받거나 해고될 수 있어요.
#Person1#: 이해합니다. 하지만 이 문제를 철저히 조사해서 미스 브라운이 제 반응을 오해했다는 것을 보여줬으면 해요.
#Person2#: 회의의 목적이 바로 그거예요. 때로는 중재 대화로 상황이 해결될 수 있고, 간단한 논의와 사과로도 문제를 해결할 수 있어요.","#Person2#는 #Person1#에게 미스 브라운이 괴롭힘을 당하고 있다고 생각한다고 전합니다. #Person1#은 미스 브라운이 자신의 의도를 잘못 이해했다고 생각하며, 이 문제를 철저히 조사하길 원합니다. #Person2#는 이 문제를 해결하기 위해 인사팀과의 회의가 필요하다고 설명합니다.",직장 내 괴롭힘
train_4217-rp,"#Person1#: 우리 거실 색깔을 컴퓨터로 시뮬레이션해볼 수 있어.
#Person2#: 밝은 주황색은 마음에 안 들어.
#Person1#: 그럼 어두운 갈색으로 해볼까?
#Person2#: 연한 파랑 같은 밝은 색은 어때?
#Person1#: 좋아, 그 색으로 하자.
#Person2#: 완벽해! 이제 페인트를 사러 갈 수 있겠어. 주말에 벽을 칠할 수 있어?
#Person1#: 응, 주말에 시간 있어.","#Person2#가 거실 벽 색상을 선택하고, #Person1#이 주말에 벽을 칠할 예정입니다.",거실 벽 색상 선택
train_12411-rp,"#Person1#: 너 학교 다닐 때 아르바이트 한 적 있어?
#Person2#: 아니, 공부하느라 너무 바빠서 아르바이트할 시간이 없었어. 너는 어땠어?
#Person1#: 나도 그랬지만, 피자 가게에서 일주일에 20시간 정도 일했어.
#Person2#: 그 아르바이트 어땠어?
#Person1#: 정말 바빴어.
#Person2#: 어떤 일을 했는데?
#Person1#: 피자 주문 받는 카운터 일을 했어.
#Person2#: 그럼, 일하면서 좋은 점도 있었겠네?
#Person1#: 응, 내가 먹고 싶은 만큼 피자를 무료로 먹을 수 있었어.","#Person1#은 학창 시절 피자 가게에서 아르바이트를 했고, #Person2#는 공부에 집중하느라 아르바이트를 하지 않았습니다.",아르바이트 경험
train_11022-rp,"#Person1#: 안녕하세요, 국제 유스 호텔입니다. 어떤 도움이 필요하신가요?
#Person2#: 안녕하세요. 다음 주 월요일에 싱글룸 세 개를 예약할 수 있을지 궁금합니다.
#Person1#: 그 날짜에 예약 가능합니다. 성수기가 다가오고 있으니 빨리 예약하시는 게 좋을 것 같습니다. 예약을 진행하시겠어요?
#Person2#: 네, 그렇게 해주세요. 신용카드로 결제 가능한가요?
#Person1#: 네, 모든 주요 신용카드를 사용하실 수 있습니다.
#Person2#: 인터넷은 어떻게 이용할 수 있나요?
#Person1#: 로비에서 무료로 인터넷을 이용하실 수 있습니다.
#Person2#: 방에서도 인터넷이 사용 가능한가요?
#Person1#: 죄송하지만, 방에서는 인터넷이 제공되지 않습니다.
#Person2#: 괜찮습니다. 아침 식사는 포함되어 있나요?
#Person1#: 네, 조식이 포함되어 있고 주차도 가능합니다.
#Person2#: 좋습니다. 감사합니다.
#Person1#: 감사합니다. 저희는 24시간 리셉션을 운영하고 있으니, 추가적으로 궁금한 점이 있으시면 언제든지 연락 주세요.","#Person2#는 #Person1#에게 전화하여 다음 주 월요일에 싱글룸 세 개를 신용카드로 예약하고자 하며, 인터넷 사용 가능 지역과 조식, 주차 여부에 대해 문의합니다.",호텔 객실 예약
train_5460-rp,"#Person1#: 실례합니다, 초콜릿 바 가격이 어떻게 되나요?
#Person2#: 1달러입니다.
#Person1#: 그럼 5달러를 내면 다섯 개 드릴 수 있나요?
#Person2#: 죄송하지만 네 개만 가능해요.
#Person1#: 아차, 세금을 깜빡했네요. 네 개 주세요.
#Person2#: 네, 감사합니다.",#Person1#은 #Person2#에게 세금을 포함한 가격으로 초콜릿 바 네 개를 구매했습니다.,초콜릿 바 구매
train_12356-rp,"#Person1#: 안녕하세요, 여러분. 내일 특별한 동굴 탐험을 가려고 해요.
#Person2#: 동굴 탐험이 어떤 재미가 있을까요?
#Person1#: 이 동굴은 지하에 있고 굉장히 넓고 길어요. 동굴 안에는 사자, 나무, 종 같은 형상의 바위들이 있어서 볼거리가 많아요.
#Person2#: 그 바위를 보는 것 외에 다른 활동은 없나요?
#Person1#: 동굴 안을 흐르는 시냇물이 있어서 보트를 타고 노를 저을 수 있어요.
#Person2#: 그 동굴까지 어떻게 가나요? 시간이 오래 걸리나요?
#Person1#: 여기서 약 60마일 정도 떨어져 있어요. 먼저 차로 가까운 마을까지 가서, 거기서 15분쯤 걸어가면 돼요.
#Person2#: 그 동굴이 마을에서 멀리 떨어져 있는 건가요?
#Person1#: 마을 근처인데, 지반이 약해서 도로나 철도를 만들 수 없어서 그래요.
#Person2#: 식당에서 점심 먹고 쉬어갈 수 있을까요?
#Person1#: 몇 군데 있어요. 대부분 현지인이 운영하는 곳이라 입맛에 안 맞을 수도 있으니 음식을 좀 준비하시는 게 좋아요.
#Person2#: 또 무엇을 준비해야 할까요?
#Person1#: 아, 꼭 말씀드려야겠네요. 동굴 안이 추울 수 있으니 옷을 좀 준비해야 해요. 모두 이해하셨나요?
#Person2#: 네.
#Person1#: 좋아요. 그럼 아침 7시에 호텔 앞에서 만나요. 잘 주무세요.","#Person1#은 #Person2#에게 내일 탐험할 특별한 동굴에 대해 설명하고, 동굴까지의 경로와 준비물을 알려주며, #Person2#의 질문에 답변합니다.",관광 계획
train_2910-rp,"#Person1#: 오늘 밤에 머물 방 하나 예약하고 싶은데요.
#Person2#: 싱글로 드릴까요, 더블로 드릴까요?
#Person1#: 싱글룸으로 부탁드립니다.
#Person2#: 미리 예약하셨나요?
#Person1#: 아니요, 예약하지 않았어요.
#Person2#: 알겠습니다. 아직 빈 방이 있어요.
#Person1#: 욕실이 따로 있는 방으로 주실 수 있나요?
#Person2#: 네, 알겠습니다. 128호실이예요.
#Person1#: 그 방의 가격은 얼마인가요?
#Person2#: 하루에 26.5달러예요.
#Person1#: 좋아요, 그 방으로 할게요.",#Person1#이 오늘 밤 욕실이 딸린 싱글룸을 예약했습니다. #Person2#는 하루 26.5달러인 128호실을 제공했습니다.,호텔 예약
train_119-rp,"#Person1#: 토론토로 가는 직항편이 있나요?
#Person2#: 직항이 없어서, Northwest Airlines로 베를린까지 가고, 거기서 Canada Airline으로 토론토까지 연결편을 타시는 것이 가장 저렴한 방법이에요. 가격은 1,900달러입니다.
#Person1#: 그 비행기는 몇 시에 출발하나요?
#Person2#: 오전 8시에 출발하고, 한 번 경유해야 합니다.
#Person1#: 경유하는 데 얼마나 걸리나요?
#Person2#: 경유시간은 한 시간도 안 걸려요.
#Person1#: 베를린에서 토론토로 가는 비행기를 기다리는 시간은 얼마나 되나요?
#Person2#: 대기 시간은 한 시간 정도입니다.
#Person1#: 전체 여행 기간은 대략 얼마나 될까요?
#Person2#: 약 13시간 정도 걸릴 거예요.
#Person1#: 계산해볼게요. 좋아, 제 일정에 맞네요. 감사합니다!
#Person2#: 도움이 되어서 기쁩니다!","#Person1#이 토론토로 가는 항공편을 찾고 있었고, #Person2#는 Northwest Airlines로 베를린까지 가고, Canada Airline으로 토론토까지 연결편을 이용하는 방법을 제안했습니다.",항공편 예약
train_7053-rp,"#Person1#: 안녕하세요, 엄마!
#Person2#: 잠깐, 지미야. 밖에 너무 추워서 모자 써야 해!
#Person1#: 알겠어요. 안녕히 계세요!
#Person2#: 잠깐만, 장갑도 끼고 가야지. 안 그러면 손이 시릴 거야.
#Person1#: 알겠어요. 이제 나갈게요!
#Person2#: 그렇게 나가면 감기 걸릴 텐데. 이 목도리를 하고 나가.
#Person1#: 네, 학교 다녀올게요...
#Person2#: 아, 그리고 귀마개도 잊지 마. 이거 끼고 나가... 자, 이제 됐어.
#Person1#: 엄마?
#Person2#: 왜 그러니, 내 사랑아...
#Person1#: 나... 숨이 막힐 것 같아요.","지미가 학교에 갈 준비를 하고 있을 때, 엄마가 계속해서 옷을 더 입혀주어서 지미가 숨이 막힐 지경이 되었습니다.",학교 가기 전 준비
train_4083-rp,"#Person1#: 안녕하세요, 어떤 도움이 필요하신가요?
#Person2#: 네, 도와주실 수 있나요? 우리 계좌로 7만 달러가 입금되고 있어요.
#Person1#: 그 자금은 어느 회사에서 온 건가요? 확인해 보겠습니다.
#Person2#: 저는 Go Thong Computers의 회계 담당자입니다.
#Person1#: 아, 그렇군요. Mr. Can이시죠? 네, 입금은 성공적으로 완료되었습니다. 그런데 그 돈을 인민폐로 환전하셔야 해요.
#Person2#: 그럼요, 문제없습니다. 지금 그 돈을 전부 인출할 수 있을까요?
#Person1#: 우리 은행에 계좌가 있으시죠? 그렇다면 인출에는 문제가 없을 겁니다.","Mr. Can, Go Thong Computers의 회계 담당자가 은행 계좌에서 7만 달러를 인출하려 하고, #Person1#이 그 과정을 도와줍니다.",은행 거래
train_10190-rp,"#Person1#: 안녕하세요? 제가 도와드릴까요?
#Person2#: 네, 길을 좀 여쭤보려고요.
#Person1#: 물론이죠. 어디를 찾고 계신가요?
#Person2#: 하드 록 카페를 찾고 있어요. 여기서 얼마나 떨어져 있고, 택시를 타야 할까요?
#Person1#: 걸어서 5분 정도 걸릴 거예요. 호텔에서 나가 오른쪽으로 가시면 바로 국민은행 맞은편에 있어요.
#Person2#: 파크 애비뉴에 있는 국민은행 말이죠?
#Person1#: 맞아요.
#Person2#: 하드 록 카페는 어떤가요?
#Person1#: 저는 괜찮다고 생각해요. 음식도 맛있고 구경할 거리도 많아요.
#Person2#: 좋네요. 과학 박물관은 어디인가요?
#Person1#: 시청 옆에 있어요.
#Person2#: 시청 근처군요. 그 박물관은 어떤가요?
#Person1#: 솔직히 별로예요. 작고 볼 게 별로 없어요. 주로 어린아이들을 위한 곳이에요.
#Person2#: 그렇다면 거기는 가지 말까 봐요. 마지막으로, 이 도시에 놀이공원이 있나요?
#Person1#: 네, 여기서 6블록 정도 가면 괜찮은 놀이공원이 있어요. 기차역 근처 공원 안에 있어요.
#Person2#: 기차역 근처군요. 감사합니다.","#Person1#이 #Person2#에게 하드 록 카페와 놀이공원 위치를 알려주었고, 과학 박물관은 별로 가치가 없다고 언급했습니다.",길 안내
train_3421-rp,"#Person1#: 안녕하세요, Mr. Smith. 저는 Dr. Hawkins입니다. 무슨 일로 방문하셨나요?
#Person2#: 정기 건강 검진을 받으러 왔어요.
#Person1#: 오랜만이시네요, 5년 만이시죠. 매년 검진을 받는 게 중요해요.
#Person2#: 알아요. 아무 문제가 없으면 병원에 올 필요가 없다고 생각했어요.
#Person1#: 그렇지 않아요. 심각한 질병을 예방하는 가장 좋은 방법은 초기에 발견하는 것이에요. 자신을 위해 적어도 매년 한 번은 오시는 게 좋아요.
#Person2#: 알겠어요.
#Person1#: 자, 어디 봅시다. 눈과 귀는 괜찮아 보이네요. 깊게 숨을 한 번 쉬어 보세요. Mr. Smith, 담배 피우시나요?
#Person2#: 네, 피워요.
#Person1#: 담배는 폐암과 심장병의 주요 원인이에요. 정말로 끊으셔야 해요.
#Person2#: 100번도 넘게 시도해봤는데, 그만두기가 너무 어려워요.
#Person1#: 저희는 금연을 도와줄 수업과 약물을 준비하고 있어요. 가시기 전에 자세한 정보를 드릴게요.
#Person2#: 알겠어요, 의사선생님, 감사합니다.","Mr. Smith는 정기 건강 검진을 위해 Dr. Hawkins를 방문했습니다. Dr. Hawkins는 매년 검진을 권장하고, Mr. Smith의 흡연 습관에 대해 우려를 표하며 금연을 돕기 위한 자원을 제안했습니다.",건강 검진
